Phrase	Grammar	Transcription	Translation	Notes
달			księżyc	
달			miesiąc	
딸			córka	
아들			syn	
돈			pieniądze	
다			wszystko	
구두			obuwie	
어디			gdzie	
딸기			truskawka	
다음			następny; następnie	
토요일			sobota	
모르다			nie wiedzieć	
가다			iść; jechać	
오다			przychodzić; przyjeżdżać	
닫다			zamykać	
듣다			słuchać	
믿다			wierzyć	
먹다			jeść; pić	
하다			robić	
크다			duży	
닦다			czyścić; wycierać	
희다			biały	
여행			podróż	
라디오			radio	
그리다			rysować	
얕다			płytki	
호텔			hotel	
다르다			inny; różny	
타다			siadać	
기다리다			czekać	
만나다			spotykać	
말하다			mówić	
일하다			pracować	
운동			ruch; sport	
이야기하다			opowiadać; rozmawiać	
이다			być	
아니다			nie być	
내리다			schodzić; wysiadać	
끄다			gasić; wyłączyć	
켜다			zapalić; włączyć	
대학교			uniwersystet	
캐나다			Kanada	
이태리			Włochy	
독일			Niemcy	
